,coordinates,score
332,"-0.1094,51.5141",0.0
333,"-81.32806152,48.47593351",0.0
334,"-87.721481,41.96807",0.18392857142857144
335,"-121.4947,38.577",0.0
336,"79.02229365,10.72778491",-0.01190476190476191
337,"-95.46836978,29.73971232",0.640625
338,"55.2741,25.1994",0.0
339,"-75.6982162,45.4323388",0.0
340,"55.2741,25.1994",0.0
341,"-122.60501862,49.33049208",-0.05
342,"-73.95666837,40.77091422",0.0
343,"-79.33710916,43.66812671",0.0
344,"-3.99,51.62",0.0
345,"-77.4367,38.4633",-0.15
346,"-122.3244,47.3999",0.07777777777777779
347,"-2.51667,52.7",0.2857142857142857
348,"-73.56725453,45.75975883",0.05555555555555556
349,"101.7109,3.1581",0.0
350,"-122.421353,37.772767",0.0
351,"-74.00067,40.21878",0.35
352,"77.2045876,28.56010567",0.0
353,"-96.83048,32.95089",-0.04444444444444445
354,"74.53125,17.30868789",0.4666666666666666
355,"36.75038735,-1.26679557",0.375
356,"-1.8581539,53.821866",0.21666666666666667
357,"77.2089,28.6139",0.30625
358,"-13.2344,8.4844",0.0
359,"76.44814968,31.97074022",-0.275
360,"-74.28118,40.5541399",0.4
361,"30.91079,3.02161",-0.1875
362,"-94.57691,39.09183",0.375
363,"-73.95,40.65",-0.1
364,"-80.3547177,43.3930366",0.25
365,"-81.32806152,48.47593351",0.13636363636363635
366,"-120.648,35.1483",0.5
367,"-79.7164011,43.7742911",0.12337662337662338
368,"-0.081841,51.483576",0.1875
369,"-73.56726563,45.63697547",0.03333333333333333
370,"-73.47935661,45.6677507",0.2575757575757576
371,"-92.308056,34.75",-0.05
372,"-79.33710916,43.66812671",0.575
373,"72.83,21.17",0.0
374,"115.17019272,-33.75046331",0.34545454545454546
375,"-70.17916667,42.05833333",-0.0375
376,"-82.4265217,27.9565429",0.5
377,"37.85,0.4",0.2
378,"106.8233,-6.1803",0.8
379,"-74.3578309,43.494885",0.13636363636363635
380,"48.1211215,29.0826043",0.0
381,"-123.07571411,49.23587045",-0.125
382,"-74.96731779,40.1981982",0.26
383,"6.62783843,46.50088924",0.3845454545454546
384,"-0.44781471,51.65327141",-0.03500000000000001
385,"-74.3399,40.56242",-0.075
386,"-121.57832533,37.01909681",0.0
387,"77,21",0.85
388,"-99.13547516,19.43757829",-0.26666666666666666
389,"-100,40",0.0
390,"77.30809,23.268888",0.0
391,"-73.56725453,45.75975883",0.1
392,"-79.7164011,43.7742911",-0.25
393,"-97.73549055,30.26585335",-0.03787878787878788
394,"-6.08348,52.9953999",0.2
395,"-77.0367,38.8951",0.4
396,"-118.384,34.0847",-0.1555555555555556
397,"-84.9404,32.4896",0.11818181818181818
398,"-79.8455,32.8232",0.7333333333333333
